sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
11.332,1.860,1.611,32.226,4.653,23.813,9.528,0.218,29.446,8.741
27.329,13.977,8.458,15.750,3.733,0.916,20.069,19.260,1.939,10.829
5.017,17.715,5.995,34.917,2.392,8.124,15.808,1.378,2.005,1.941
48.401,25.762,36.612,21.206,42.151,1.786,15.233,0.839,26.758,7.243
19.073,15.791,0.913,24.150,3.970,13.876,7.520,6.767,3.008,12.039
5.722,4.356,24.045,0.805,7.118,26.588,34.378,15.135,19.879,15.433
0.885,20.380,0.955,4.195,13.776,12.907,30.855,8.171,12.434,7.930
0.188,0.748,26.968,9.560,18.961,9.015,16.025,11.679,22.970,0.128
2.032,4.077,0.969,0.182,0.341,0.329,4.080,40.115,6.808,26.059
8.787,7.349,13.361,9.165,36.910,9.120,8.842,19.938,21.110,4.737
1.346,4.094,0.862,1.731,1.390,10.066,5.958,0.303,3.557,12.892
4.659,5.010,0.184,4.451,10.960,19.084,12.266,7.239,7.126,6.716
0.048,1.004,26.356,38.707,14.646,10.650,37.156,8.952,10.796,12.286
12.858,2.053,1.802,26.989,17.388,19.904,6.998,13.636,5.839,17.632
23.218,5.815,2.181,7.901,6.132,18.952,26.951,5.315,3.507,0.948
0.259,12.348,32.560,42.058,11.832,9.475,30.028,41.700,0.697,18.194
17.848,0.679,34.808,1.350,2.871,3.298,20.061,7.351,12.696,13.992
4.172,13.266,30.555,0.343,29.015,7.176,4.096,12.535,16.224,11.979
7.158,18.990,18.015,7.293,14.101,3.747,2.599,9.949,15.806,7.945
45.301,0.689,5.681,10.687,0.421,0.280,19.002,3.158,7.174,4.387
2.012,27.219,8.435,7.411,26.187,1.841,4.958,10.642,18.384,5.095
13.523,8.006,9.386,17.122,31.109,15.155,12.850,8.917,7.362,5.130
10.556,1.214,3.133,37.822,17.546,9.260,1.137,3.564,3.661,3.184
3.115,10.233,6.443,2.260,38.854,8.374,7.564,43.754,22.677,22.136
20.117,8.985,3.813,1.184,6.592,19.241,28.697,28.970,5.536,17.987
19.410,10.562,18.778,7.705,7.918,7.149,2.529,7.100,25.788,2.264
15.317,15.081,10.052,8.254,19.671,0.815,16.435,12.986,1.313,34.158
31.448,10.982,22.882,1.147,2.873,12.024,20.372,20.414,3.379,6.827
2.719,0.726,30.223,1.705,19.390,32.503,33.917,27.789,15.684,0.965
21.960,25.190,14.689,8.080,38.445,22.593,10.733,1.606,3.947,1.751
31.183,4.642,16.587,19.963,34.944,8.669,0.438,6.531,33.364,1.123
10.292,21.201,7.547,6.042,29.154,20.637,13.374,7.377,3.667,1.801
15.904,29.512,9.028,6.171,10.715,38.940,5.159,14.232,15.401,7.488
10.538,0.792,36.248,0.558,8.274,7.772,23.322,6.563,11.664,29.481
25.115,3.333,16.256,22.590,6.669,29.974,1.841,2.294,21.326,6.370
21.793,13.292,8.061,36.064,24.067,7.320,10.567,16.639,4.398,11.890
0.514,4.176,30.653,35.188,8.310,0.669,13.229,20.009,20.270,39.763
6.503,2.498,28.487,1.793,23.786,19.527,16.875,1.322,0.279,4.272
15.616,4.725,3.489,12.457,3.050,12.356,22.914,29.968,12.507,20.487
17.461,25.822,0.963,19.472,16.759,28.412,16.923,22.683,9.888,11.384
23.805,18.289,2.424,18.694,16.085,10.871,14.607,16.825,3.345,3.829
1.813,2.305,0.327,1.898,31.916,12.004,13.769,4.583,0.484,9.458
6.658,0.916,6.198,13.751,2.762,17.975,0.423,3.771,19.477,19.041
3.680,3.163,2.319,23.660,1.850,13.605,1.875,9.516,8.991,0.327
2.419,32.107,16.318,5.154,36.350,7.027,1.461,7.308,0.490,20.874
22.066,2.984,31.762,26.974,33.527,0.123,8.618,10.123,28.689,0.055
11.011,9.013,1.819,12.066,14.601,19.516,20.598,0.047,4.356,5.090
14.243,8.089,2.509,19.415,22.162,7.630,15.509,5.388,22.787,27.113
8.145,5.099,9.835,1.811,3.758,22.602,4.456,0.345,19.249,3.673
8.245,45.370,11.169,5.277,5.509,2.374,3.515,2.030,34.540,23.739
41.042,15.617,22.514,48.182,11.010,37.077,0.586,9.178,18.554,14.248
0.702,13.106,8.132,28.169,31.547,1.942,10.749,37.671,23.183,21.886
43.505,26.412,0.106,0.023,8.989,21.863,3.898,18.573,2.411,8.835
8.777,30.303,2.377,21.973,0.157,0.688,39.311,15.669,18.912,7.314
8.482,9.233,29.994,1.302,0.527,1.162,8.042,5.594,7.089,27.754
5.679,3.338,3.973,38.305,2.160,27.084,5.531,5.038,1.576,7.440
3.367,38.164,21.197,17.372,4.076,10.460,38.083,9.200,23.292,0.356
6.460,1.873,3.667,1.786,1.353,21.509,2.354,12.313,3.725,25.153
12.097,13.550,9.751,10.274,2.873,5.547,15.279,5.560,5.013,5.152
0.820,12.424,41.480,5.924,12.230,16.985,4.352,0.073,17.965,16.552
15.316,10.131,4.766,4.260,10.531,49.563,3.277,5.229,24.148,2.938
12.702,11.761,4.258,45.316,6.116,25.603,1.006,1.359,8.391,27.715
9.245,1.363,6.435,5.559,7.968,5.369,1.266,10.439,1.112,10.805
32.594,6.795,42.297,0.583,42.911,27.028,18.570,23.910,14.591,11.002
16.275,26.607,0.443,7.953,5.581,7.249,2.135,7.468,9.118,40.836
8.535,17.666,8.658,22.989,6.173,3.765,1.437,2.730,6.647,4.709
1.984,2.904,0.405,6.272,3.944,3.658,0.139,13.168,14.227,26.973
12.139,27.450,16.554,39.255,29.965,7.570,20.932,9.875,32.382,14.563
0.894,3.264,1.961,11.231,0.204,30.002,3.050,2.432,0.760,3.359
18.913,6.979,26.755,10.509,17.055,0.596,1.915,30.423,37.155,10.612
5.483,22.471,30.507,2.429,12.352,5.071,4.360,4.580,44.718,29.052
33.844,0.147,6.381,27.998,25.599,33.455,9.402,1.721,10.537,1.646
0.349,1.408,3.001,6.839,18.299,19.278,10.643,14.903,1.057,28.971
0.514,4.555,9.240,26.470,3.996,0.427,26.944,3.589,0.258,13.344
2.967,24.756,16.094,5.286,18.048,24.973,31.416,13.530,14.037,6.229
1.821,2.791,6.539,12.297,6.965,0.976,26.539,7.666,6.090,9.957
7.360,0.023,8.033,38.859,12.181,15.650,0.970,47.210,39.779,30.516
2.939,34.108,20.469,32.180,4.218,23.031,2.373,31.651,1.850,2.499
41.918,21.274,6.671,2.564,5.774,42.083,6.895,6.124,5.860,17.887
28.615,3.858,3.960,1.633,1.662,4.139,3.131,9.948,11.706,8.374
16.395,2.162,30.829,2.312,3.017,14.531,8.905,25.387,0.143,2.490
5.837,23.173,10.285,3.198,10.172,24.865,12.817,0.238,11.880,5.632
18.829,17.628,40.278,1.313,9.964,0.558,4.462,5.826,1.651,2.865
12.282,10.410,23.872,5.059,33.988,35.365,42.546,15.160,0.696,21.583
32.413,11.342,2.398,38.464,21.041,8.758,0.390,0.521,18.715,5.804
9.334,12.283,16.274,8.226,9.633,9.937,29.460,8.054,16.775,0.878
2.344,4.587,19.605,2.768,25.699,6.577,0.813,19.281,19.189,1.464
13.184,4.278,1.324,8.451,5.181,21.624,2.751,1.652,4.765,0.370
0.292,3.875,1.769,3.087,18.710,3.767,4.213,23.134,6.685,12.264
14.955,29.547,33.531,14.520,21.903,6.815,23.941,25.840,0.657,5.350
4.435,29.312,3.847,5.824,5.442,12.120,19.443,18.633,18.407,3.488
1.046,5.496,6.862,18.529,24.600,6.391,45.854,18.299,6.188,6.715
17.592,5.173,0.517,32.954,5.107,7.588,8.406,0.468,11.200,3.494
10.874,0.979,3.446,6.517,13.320,36.918,13.587,1.253,21.734,10.463
28.778,41.240,18.361,0.161,13.319,1.051,1.097,16.654,1.016,2.044
16.628,35.782,3.231,2.246,43.916,4.331,27.522,3.213,12.061,4.233
0.277,8.052,14.737,31.479,11.501,19.192,5.076,16.665,0.261,1.281
5.532,0.305,20.382,5.328,4.250,6.369,31.735,2.341,2.612,8.749
20.478,18.117,0.415,18.198,29.868,28.290,5.521,7.665,0.855,17.038
6.217,13.232,1.797,0.165,0.598,20.548,17.973,6.905,0.637,22.350
4.802,2.372,3.465,5.575,20.889,17.974,21.006,0.788,20.340,7.976
8.059,18.723,10.437,24.808,18.881,0.586,8.945,45.009,14.842,4.851
15.037,20.317,2.942,2.006,7.917,28.427,44.363,40.683,16.928,12.924
1.055,1.681,26.768,23.589,15.779,45.400,20.823,10.414,2.227,4.456
1.972,28.254,7.043,15.633,11.540,29.766,6.434,33.336,0.124,14.751
4.824,3.426,1.030,4.007,15.965,12.192,7.509,0.761,2.833,9.663
4.263,6.115,7.245,14.818,21.567,28.369,3.732,13.003,6.054,3.252
27.128,0.772,1.972,21.527,33.208,13.971,4.758,26.048,11.971,30.679
10.180,27.541,3.774,5.308,1.324,3.909,2.275,39.106,2.565,27.762
0.199,7.113,1.976,43.019,13.615,23.049,7.427,16.868,5.493,1.436
5.501,4.829,15.735,2.144,3.294,12.205,9.369,24.281,2.562,1.957
11.376,1.729,4.539,20.478,6.956,1.012,6.842,2.258,0.953,9.199
6.781,21.389,2.327,16.267,1.815,25.705,18.588,6.338,0.782,36.968
10.440,17.155,12.831,2.575,11.998,7.483,1.613,2.351,39.579,5.331
4.014,2.481,21.223,23.293,30.898,10.831,4.202,37.344,6.319,0.721
15.910,19.720,12.306,23.020,13.634,6.799,27.571,20.722,3.656,3.744
28.939,9.586,35.101,3.947,3.802,0.479,1.749,2.250,28.436,4.099
1.272,5.227,5.747,7.366,8.882,6.759,16.890,1.698,17.312,14.037
12.119,1.262,3.853,20.471,14.430,0.219,0.956,25.837,4.188,1.317
14.501,5.919,12.845,8.591,12.976,34.176,20.300,28.608,39.541,15.572
24.526,10.734,22.854,7.157,0.458,7.724,7.423,11.172,2.004,4.835
25.161,5.322,3.310,17.911,8.811,6.028,18.729,26.478,6.777,23.275
4.053,39.519,3.797,0.912,3.831,16.293,23.533,1.856,0.481,2.680
6.255,2.790,0.731,17.421,12.211,1.791,6.150,10.655,6.935,5.338
1.766,17.391,11.462,26.380,1.356,11.698,2.361,5.780,2.527,4.843
11.830,8.655,28.894,1.554,3.618,8.798,11.130,14.353,12.514,31.849
5.788,22.483,22.413,34.285,8.930,28.067,42.558,0.699,24.203,13.524
2.931,14.024,9.456,2.672,14.047,1.436,17.757,7.814,0.762,23.292
6.208,1.197,3.899,33.976,3.772,30.002,4.535,4.415,27.130,10.048
30.547,31.022,8.503,14.917,0.520,15.001,8.082,22.855,26.420,1.371
0.327,7.421,34.357,5.043,2.527,10.051,17.391,0.225,26.773,13.143
17.216,15.357,14.000,22.013,27.180,1.398,3.086,12.271,0.254,1.079
0.973,16.796,13.535,2.374,28.566,11.511,16.664,4.035,6.306,1.440
8.447,1.834,3.561,19.775,1.955,39.001,9.281,26.188,33.224,6.145
0.309,17.598,22.222,10.119,2.568,4.044,42.443,0.982,0.571,3.447
4.424,3.501,19.841,13.809,21.018,1.520,7.411,7.267,8.920,41.040
32.467,8.466,4.057,31.252,16.284,19.819,31.457,0.701,1.155,12.405
11.289,22.816,1.347,19.305,38.622,4.401,5.476,19.122,2.735,9.721
4.819,17.949,5.384,27.108,20.317,31.409,25.255,8.121,1.363,21.721
10.998,1.083,12.839,6.420,8.370,16.262,25.886,30.133,5.203,1.410
8.229,15.025,3.757,29.709,16.807,10.215,2.180,16.694,4.274,0.417
0.098,16.269,13.526,2.171,14.819,4.481,13.640,3.897,2.425,16.964
2.230,2.093,27.188,15.863,1.925,0.090,10.829,1.575,13.149,11.613
0.146,11.313,9.954,13.827,18.817,16.776,0.044,15.653,27.373,2.561
20.243,12.855,26.611,6.500,8.801,30.412,0.978,39.570,12.432,1.741
12.909,0.071,6.267,39.216,0.026,5.446,27.892,6.882,2.539,3.937
19.704,6.908,1.520,19.504,2.560,0.473,16.051,0.743,12.231,16.068
35.224,13.440,5.112,28.339,0.443,32.411,21.354,40.242,15.125,3.467
13.931,3.975,4.359,7.362,1.408,1.653,40.253,0.796,6.897,7.136
11.275,21.043,11.831,3.180,23.857,28.844,12.501,0.978,27.900,9.629
10.431,21.354,5.314,0.528,0.497,0.983,9.751,1.892,0.006,35.869
4.462,35.214,10.876,5.815,0.133,5.151,8.682,1.330,42.758,15.697
1.377,8.462,1.406,7.960,18.184,14.997,34.388,25.022,27.428,8.443
15.833,3.151,14.444,0.236,6.421,4.101,0.169,2.065,17.687,11.642
7.164,17.088,37.709,16.117,0.662,34.654,3.252,13.328,4.479,3.627
0.316,23.398,44.625,29.475,2.008,28.946,10.644,31.716,10.869,1.251
47.947,12.702,0.692,18.108,23.719,15.375,2.908,35.045,24.154,6.185
4.890,17.582,9.396,6.000,3.326,2.696,15.250,19.757,20.181,1.878
7.940,5.868,14.728,7.983,32.223,11.822,40.275,20.030,17.222,21.604
6.092,37.898,6.684,3.108,22.402,28.347,1.148,19.082,0.297,2.860
0.490,7.413,1.237,17.216,8.623,11.875,7.611,16.625,1.382,5.798
0.636,39.135,2.665,11.888,3.266,4.451,26.836,1.852,10.521,1.249
10.166,1.681,40.994,21.686,7.337,40.859,21.751,17.888,19.660,23.031
6.650,9.482,11.768,25.306,9.573,11.421,13.939,11.995,28.073,8.681
12.333,39.320,8.197,4.821,5.598,35.483,16.713,7.197,9.515,2.970
13.603,0.162,29.736,2.197,1.194,23.107,21.938,3.730,19.005,24.498
1.450,16.759,24.362,1.704,14.809,5.853,2.458,18.861,17.071,1.931
11.857,6.880,10.444,5.704,9.165,1.478,7.690,13.169,0.823,35.226
7.964,17.326,36.585,6.683,4.304,1.972,20.862,6.441,10.028,2.499
6.269,39.896,1.051,3.502,4.820,10.702,11.769,26.774,1.833,2.796
8.218,27.561,14.979,3.847,2.338,2.665,15.839,27.993,23.947,1.906
35.516,16.718,8.311,4.763,5.878,4.726,0.359,1.165,19.255,32.637
31.169,1.808,28.212,3.817,4.601,10.195,22.953,13.783,11.635,24.177
2.003,10.900,7.592,6.937,14.859,1.161,27.821,20.087,1.130,10.382
3.571,4.152,3.321,7.882,15.863,6.091,29.230,11.762,2.103,13.488
11.434,28.929,19.989,13.777,12.766,10.182,20.543,3.669,8.928,9.138
8.115,11.543,25.950,1.249,12.566,3.729,35.471,5.980,2.304,14.430
17.911,17.608,9.429,5.559,6.476,1.760,7.785,36.283,8.395,2.201
10.632,2.317,20.011,2.275,11.930,6.029,4.758,7.010,4.960,21.578
9.875,21.070,0.914,7.435,29.100,30.280,1.767,11.909,34.208,8.497
11.433,1.663,27.528,6.505,9.725,4.298,9.560,19.373,20.042,30.831
43.198,4.528,15.235,3.950,4.934,1.856,14.615,11.951,5.215,11.195
11.190,9.209,14.378,1.998,17.027,27.489,12.360,5.510,3.038,14.917
6.560,18.887,4.372,27.445,3.655,6.515,10.385,5.393,5.189,0.830
0.616,1.248,30.667,41.557,4.453,2.381,2.105,13.124,15.473,33.718
4.488,1.000,1.301,18.829,24.943,12.288,44.205,0.781,0.472,13.764
8.030,1.360,4.316,9.083,6.802,12.266,1.894,42.597,30.373,39.884
21.180,16.152,5.815,25.384,32.790,17.965,40.118,5.191,12.382,0.866
0.548,13.150,44.256,0.770,0.834,11.084,1.776,26.815,13.359,36.412
11.820,2.147,4.118,3.523,3.815,12.421,15.357,6.924,0.241,12.962
0.004,7.249,3.919,18.487,2.027,1.813,10.664,10.719,11.303,11.136
0.025,2.972,19.185,1.917,5.266,11.817,3.727,13.259,4.531,12.785
0.005,39.877,29.717,0.366,7.034,8.644,21.236,10.155,3.165,16.693
8.834,29.462,20.751,21.320,10.275,8.454,5.837,41.347,5.754,24.434
3.392,19.061,10.185,3.965,16.781,11.113,6.800,34.524,29.066,20.520
25.019,3.826,11.967,3.233,13.549,2.312,29.377,6.895,18.456,5.557
14.592,7.818,20.083,19.400,12.647,5.188,18.694,6.211,0.435,14.501
2.757,6.277,48.752,15.509,5.452,20.662,5.906,1.763,20.094,4.600
0.771,6.914,1.282,14.109,7.147,1.460,3.487,7.394,10.891,23.302
3.689,17.802,12.399,3.992,19.952,0.666,21.028,1.856,42.176,22.586
2.411,14.908,22.742,9.760,34.118,8.481,2.814,17.227,7.279,25.252
0.164,5.724,0.158,3.350,19.961,9.211,1.696,35.563,27.703,10.811
25.961,24.206,16.061,25.093,0.951,8.428,20.891,3.812,9.676,2.728
3.978,2.825,11.580,4.316,2.728,7.875,36.851,0.129,21.413,33.358
20.894,1.141,2.452,0.972,1.923,7.492,21.659,25.128,23.089,2.327
13.331,0.419,5.389,9.533,6.134,16.213,2.272,4.574,6.190,0.373
11.268,20.250,23.084,1.977,21.797,20.661,2.045,9.357,15.940,14.482
24.961,10.148,0.384,9.761,40.887,25.780,41.177,16.415,24.301,33.257
28.677,28.396,45.424,35.904,3.751,10.713,10.453,3.367,19.809,17.958
1.302,14.882,13.351,10.607,15.425,2.190,0.467,26.082,0.863,0.042
0.851,2.311,11.855,0.311,5.727,11.881,0.380,15.802,7.160,0.157
6.822,2.441,39.134,16.474,13.600,20.884,32.300,12.727,42.248,13.931
3.032,10.868,5.876,25.155,11.426,18.091,14.432,3.060,36.978,2.204
6.556,3.858,2.678,21.226,26.686,1.416,5.243,3.822,4.631,15.360
7.600,25.701,36.160,17.658,5.843,27.109,4.832,3.018,0.166,15.064
2.825,0.150,11.256,7.619,0.521,15.311,16.510,3.683,11.229,12.843
13.286,0.661,13.782,24.087,5.324,7.677,11.128,3.879,9.519,25.732
35.716,8.905,7.204,33.039,20.929,1.983,3.327,6.402,8.980,5.520
8.236,5.472,6.568,16.682,32.108,2.926,12.872,2.298,25.075,30.600
5.966,2.518,25.207,4.257,11.693,0.138,13.641,6.779,28.353,3.768
2.607,2.708,4.581,14.136,17.411,17.126,3.636,1.322,1.318,33.312
3.960,8.576,1.217,5.481,10.875,3.319,1.279,7.439,5.056,17.205
17.851,1.664,18.330,26.863,2.192,12.239,15.853,5.792,31.493,3.369
2.218,15.875,0.674,24.586,1.321,7.255,5.460,34.535,1.388,4.813
22.537,24.068,18.491,18.215,15.036,30.119,7.261,0.510,4.445,5.390
9.544,10.015,28.945,2.426,4.813,32.357,27.481,2.994,0.777,34.882
3.877,4.984,37.851,6.553,9.015,35.306,4.179,28.040,16.200,17.008
44.826,5.320,1.298,0.242,3.560,24.301,18.684,25.778,12.705,25.030
25.998,22.008,0.558,7.643,6.148,12.642,8.512,18.462,12.696,14.910
14.733,5.588,18.489,1.903,8.521,7.837,18.426,27.887,0.435,21.239
3.116,26.166,21.403,8.830,14.974,23.220,47.908,10.057,27.998,13.121
1.956,0.574,7.199,15.418,6.813,23.539,17.660,1.810,31.565,35.897
0.075,3.725,24.915,6.187,3.756,24.228,0.235,24.066,34.699,26.075
2.236,9.665,20.755,2.371,16.621,8.297,2.380,5.011,23.413,20.933
12.543,17.105,18.943,1.579,7.765,0.179,6.471,12.957,5.014,17.176
0.733,1.813,22.027,8.114,5.721,21.861,24.766,8.268,6.169,1.312
2.702,1.349,5.139,10.915,2.621,5.101,41.516,12.389,9.976,8.971
45.077,13.625,20.804,2.637,0.254,20.597,2.580,22.488,3.430,10.186
39.928,3.440,16.498,24.455,17.283,14.943,0.120,1.475,4.236,6.471
0.409,14.184,19.528,11.485,30.211,6.031,44.209,2.219,13.335,13.600
5.015,14.977,16.909,22.240,0.487,14.666,12.827,0.658,25.482,43.624
17.512,37.969,13.350,2.242,2.831,10.760,25.304,8.830,6.512,12.467
5.621,1.068,30.514,11.544,1.390,7.940,1.853,5.702,13.101,2.587
3.027,0.048,6.768,7.732,17.295,27.899,20.117,6.402,7.878,1.534
10.489,25.758,0.809,19.862,6.942,4.551,5.014,1.714,9.177,24.375
1.281,9.324,0.859,3.414,0.352,14.289,12.228,16.734,3.187,3.794
18.179,5.230,4.297,5.455,14.323,22.909,1.797,5.224,22.176,8.010
28.669,43.746,21.067,1.069,6.289,5.920,0.165,3.723,0.564,9.965
6.857,0.689,10.321,4.193,12.144,27.927,0.048,7.418,0.724,0.202
0.890,0.781,3.482,10.447,5.034,31.296,4.247,10.705,4.499,0.950
4.608,13.411,21.989,0.797,15.616,44.138,23.713,7.528,7.977,1.903
8.178,3.109,0.417,39.730,0.865,12.413,16.045,20.379,0.086,1.819
11.105,30.334,9.040,2.646,24.231,14.330,27.789,2.639,18.532,18.205
12.001,14.877,14.354,11.860,0.801,3.693,6.425,0.364,12.288,14.414
10.000,5.023,20.654,33.864,0.031,9.457,3.767,2.505,24.610,5.298
5.997,38.723,18.823,4.552,5.283,4.075,27.854,18.601,7.813,34.716
22.853,6.187,0.597,6.743,4.643,1.357,37.135,9.857,6.120,3.680
0.159,26.348,16.457,0.684,13.194,0.458,14.794,5.522,11.069,7.718
0.393,10.233,16.193,23.579,2.816,4.177,5.875,5.316,41.163,3.861
24.903,2.099,21.739,27.749,14.629,3.453,0.655,23.762,15.270,19.190
23.949,7.102,6.254,2.386,10.533,11.802,36.750,14.409,11.276,9.160
0.852,0.338,26.145,9.254,0.167,3.395,34.185,16.488,11.709,30.162
23.034,26.533,19.203,12.806,1.602,16.686,26.216,3.855,17.872,10.866
10.066,3.693,10.829,24.169,30.797,7.985,30.522,5.914,17.438,21.695
1.327,0.896,40.497,9.132,0.918,5.210,32.437,21.882,14.251,13.837
9.736,3.886,32.044,21.603,24.387,10.280,0.748,24.549,18.404,3.799
7.658,44.070,25.834,17.420,2.161,13.136,27.129,41.861,9.555,26.376
13.854,30.577,7.373,7.431,4.976,9.986,6.040,44.031,4.760,1.970
22.663,5.754,0.561,0.640,8.792,15.732,11.325,22.841,4.234,2.101
0.959,9.058,8.375,14.512,15.669,15.401,17.434,20.233,35.869,1.466
22.968,13.371,4.178,16.045,19.564,10.742,24.847,0.825,9.240,0.588
0.112,2.893,32.539,0.843,21.426,29.701,15.432,30.491,2.673,2.416
20.466,26.146,13.891,22.541,15.477,2.185,30.612,0.466,1.984,4.992
12.061,23.376,11.420,0.592,5.109,10.918,5.108,4.288,11.726,6.188
9.714,12.894,30.598,6.480,5.795,17.738,44.666,3.915,7.084,9.534
8.529,26.564,2.313,34.061,4.059,27.441,18.262,8.131,16.680,2.381
16.411,27.982,12.820,6.165,2.959,7.029,0.180,27.065,26.272,12.829
33.677,7.274,32.661,8.629,10.026,16.185,8.904,8.074,9.967,19.855
5.858,5.685,1.439,7.729,1.146,8.364,1.787,12.499,18.618,23.203
33.356,29.691,3.495,3.305,4.821,16.816,8.247,22.856,2.549,0.579
15.100,5.932,1.892,1.401,0.277,7.401,2.792,26.533,5.955,16.419
18.852,12.621,2.555,10.200,6.052,3.747,8.896,23.275,22.994,10.810
13.139,23.405,10.341,21.628,5.241,12.494,28.490,16.941,10.440,36.511
0.436,0.910,5.716,48.161,3.709,1.836,17.207,0.025,23.643,8.022
14.319,33.597,3.920,11.408,2.362,9.707,2.292,0.098,14.595,0.865
17.711,3.287,0.508,30.862,30.162,2.945,26.668,23.493,4.659,3.451
35.991,4.563,29.560,18.125,3.454,4.421,3.244,7.306,8.314,14.611
6.527,2.100,22.627,0.333,44.461,39.557,3.972,20.286,2.776,22.245
0.550,1.398,6.888,1.080,0.390,34.414,25.742,0.421,3.174,29.547
5.169,14.413,21.891,0.903,5.322,9.315,7.470,2.811,2.259,1.801
0.950,22.412,0.810,12.940,1.619,7.648,18.301,6.339,18.709,12.361
1.459,7.263,0.282,3.332,0.331,38.670,5.426,5.163,23.375,21.668
20.727,1.331,2.787,2.187,0.922,6.603,18.960,4.137,15.140,1.664
32.059,0.277,10.053,31.437,39.192,3.197,4.959,15.624,5.152,0.998
4.303,15.142,4.511,21.070,9.855,0.708,2.122,34.967,30.189,6.621
19.263,23.968,26.876,6.521,31.177,1.181,8.890,23.231,4.573,5.100
3.351,25.860,11.627,15.218,23.698,1.519,0.314,11.967,3.191,14.266
8.995,1.735,5.392,6.356,13.721,7.080,19.609,12.838,2.753,1.385
35.332,34.752,43.420,24.106,8.832,0.630,1.590,6.467,0.306,11.103
15.176,1.603,17.660,4.931,14.978,14.941,2.547,9.521,2.338,18.876
0.122,13.648,7.345,15.990,9.268,19.385,0.949,18.840,0.056,14.212
0.622,6.969,3.260,41.816,10.486,28.182,14.435,19.235,17.909,12.440
1.185,9.968,2.224,4.797,0.638,4.971,6.031,8.246,3.488,10.718
4.503,18.982,2.501,9.119,9.136,4.677,41.897,5.771,5.782,4.367
7.115,0.427,0.168,13.899,16.338,0.087,15.656,13.278,6.395,7.546
8.856,17.836,1.239,41.373,18.234,25.336,29.485,11.543,0.261,2.368
38.488,1.078,0.722,8.414,36.516,13.890,11.717,14.337,0.251,8.387
15.478,13.182,6.751,36.642,40.926,3.435,25.612,7.484,13.035,0.770
19.106,15.674,1.406,14.224,18.184,3.642,24.455,6.063,18.881,2.171
7.453,13.972,2.515,8.289,5.379,19.669,13.056,6.819,3.987,13.064
10.658,24.383,3.871,36.539,16.921,0.137,4.802,26.807,40.973,42.133
4.442,4.765,3.943,2.981,0.397,1.271,8.667,4.589,11.124,1.829
2.455,1.383,8.708,8.537,9.192,11.965,3.613,16.173,23.656,4.415
3.631,8.988,1.232,22.126,34.589,16.201,8.876,10.214,3.891,11.839
24.592,21.947,9.534,5.229,31.954,2.142,16.023,2.888,25.039,1.393
13.643,1.766,17.420,6.412,30.538,38.466,14.226,0.731,14.853,2.276
4.361,0.878,19.435,6.573,0.835,11.946,29.227,23.076,23.222,20.461
38.098,11.653,8.633,6.857,1.894,31.183,25.702,1.453,5.662,7.252
1.340,36.118,2.377,28.380,8.929,7.760,28.504,9.500,15.189,1.577
21.269,33.500,15.057,44.763,13.842,0.140,28.051,13.250,24.249,15.812
5.945,6.392,14.119,1.404,32.584,33.185,2.697,7.925,7.317,11.312
12.538,4.586,0.789,8.074,26.998,42.565,29.879,35.344,16.517,4.963
6.761,27.420,14.747,42.123,16.598,31.689,2.902,3.988,24.468,2.443
31.020,8.011,7.212,14.332,22.930,2.781,27.927,15.375,0.210,1.429
12.262,18.103,0.493,6.024,16.688,34.655,6.866,10.410,18.915,3.737
3.383,0.765,20.229,6.648,0.252,2.753,22.745,5.104,0.854,21.656
6.558,1.857,15.926,0.774,27.287,23.335,30.928,8.460,4.168,18.798
7.579,3.239,0.819,1.120,6.287,18.486,3.518,0.644,11.528,11.974
3.375,5.073,1.710,27.887,6.830,14.239,4.276,12.302,10.960,14.461
23.088,3.238,12.437,0.819,22.937,26.281,3.234,0.018,8.839,22.369
1.902,20.145,33.110,12.972,5.560,13.605,1.248,22.364,41.967,6.248
3.615,11.746,1.667,31.875,15.777,19.709,1.691,1.083,7.282,12.753
0.182,13.567,3.298,38.913,48.926,0.209,5.938,13.056,25.888,4.744
7.732,1.419,7.071,38.996,12.571,7.121,5.083,20.311,13.003,17.929
4.365,7.719,7.128,20.785,3.392,3.644,21.518,9.137,27.407,44.070
8.762,1.804,0.610,3.065,20.326,10.745,4.221,20.033,0.892,10.085
9.860,31.760,13.731,39.333,7.816,2.616,25.076,15.096,9.168,3.125
22.976,7.234,47.927,17.452,12.530,1.629,30.268,0.438,7.517,16.918
2.074,19.288,12.754,32.357,38.432,34.382,12.570,17.198,1.721,33.353
10.030,12.515,2.671,3.728,7.768,11.904,12.916,23.000,4.527,7.397
30.815,3.575,5.757,10.197,29.731,28.948,7.804,30.088,1.547,11.914
3.960,7.745,35.076,12.381,27.572,8.824,23.044,11.039,27.914,41.370
5.529,19.530,7.080,3.070,28.411,6.601,19.768,7.417,14.098,2.401
4.700,43.666,1.819,2.021,1.647,10.343,6.738,5.817,8.023,3.646
14.345,14.476,47.959,7.485,10.973,22.526,2.883,0.877,4.995,18.360
11.732,18.624,3.361,27.293,5.075,18.470,16.631,19.761,26.192,20.311
13.422,26.656,0.001,1.624,0.526,1.930,24.775,40.782,4.418,20.096
17.329,0.605,23.214,4.104,3.367,0.285,12.885,23.379,23.364,15.187
